address,floor_area,agent_name,baths,beds,price
"7 Henrietta Street, Dublin 1",763 m²,,7 Bath,6 Bed,"€3,000,000 "
"Drumleck House, Ceanchor Road, Howth, Dublin 13",781 m²,,5 Bath,5 Bed,"€10,000,000 "
"13 Inverness Road, Fairview, Fairview, Dublin 3",200 m²,,3 Bath,4 Bed,"€875,000 "
"3 Ballymun Road, Glasnevin, Dublin 9",152 m²,,2 Bath,4 Bed,"€895,000 "
"Mallahow, Naul, Co. Dublin",,,3 Bath,4 Bed,"€725,000 "
"Apartment 133, Block F, Bellevue, Islandbridge, Dublin 8",48 m²,,1 Bath,1 Bed,"€270,000 "
"26 Holywell Way, Swords, Co. Dublin",63 m²,,2 Bath,2 Bed,"€260,000 "
"4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",60 m²,,2 Bath,2 Bed,"€245,000 "
"Fern House, 126, Ranelagh, Dublin 6",265 m²,,2 Bath,5 Bed,"€1,475,000 "
"10F North Street, Ongar Village, Ongar, Dublin 15",71 m²,,2 Bath,2 Bed,"€235,000 "
"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",100 m²,,2 Bath,3 Bed,"€575,000 "
"30 Belarmine Close, Belarmine, Stepaside, Dublin 18",121 m²,,3 Bath,3 Bed,"€585,000 "
"11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",286 m²,,6 Bath,5 Bed,"€1,495,000 "
"19 Ticknock Dale Sandyford Dublin 18, Sandyford, Dublin 18",120 m²,,3 Bath,3 Bed,"€475,000 "
"21 Sleepy Hollow, Kinsealy Lane, Malahide, Co. Dublin",182 m²,,3 Bath,4 Bed,"€845,000 "
"Donerea, Balscadden, Balbriggan, Co. Dublin",264 m²,,3 Bath,5 Bed,"€895,000 "
"7 Carrickmines Dale, Carrickmines Wood, Carrickmines, Dublin 18",239 m²,,3 Bath,5 Bed,"€1,295,000 "
"1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",105 m²,,1 Bath,3 Bed,"€575,000 "
"24 Woodview House, Avoca Road, Blackrock, Co. Dublin",190 m²,,4 Bath,4 Bed,"€1,250,000 "
